0,1
0,a cat lying on a rug
1,a small stream in the woods
2,a white wall with a green background
3,a car on a road by the sea
4,a black and white bird standing on grass
5,a bird sitting on a ledge
6,a white bird flying over grass
7,sheep grazing in a field
8,a woman sitting in a chair
9,a table with plates and silverware
10,a close-up of some leaves
11,a large building with a clock on it
12,horses in a barn
13,a couple of sheep graze in a field
14,a group of people in a yellow raft in the ocean
15,a wall with pictures on it
16,a cow is standing in a grassy field
17,a group of chairs
18,a group of people sitting on a bench with camels
19,a living room with a green couch
20,a cat lying on a table
21,a train is stopped at a station
22,a chair and a table
23,a person's legs on a couch
24,a boat in the water
25,a small white dog
26,a cow grazing in a field
27,a cat lying on a couch
28,a living room with couches
29,a train on the railway tracks
30,a cow looking over a fence
31,a living room with a fireplace
32,a motorcycle parked on a concrete floor
33,a man in a baseball cap and glasses holding a baseball bat
34,a dog standing in a grassy area
35,a yellow bus on the street
36,a dog lying under a table
37,a horse with a halter
38,a cat lying on a blanket
39,a tall antenna on a foggy day
40,a bird with a red beak
41,a cat lying on a rug
42,a wall with a window
43,a pig eating grass
44,a cat sitting on a chair
45,a close-up of some grass
46,a dog sleeping on a couch
47,a plane on the runway
48,a plane on the runway
49,a man and woman standing in front of a house with flags
50,a laptop on a table
51,a red race car
52,a man and woman petting a horse
53,a motorcycle parked on a road
54,a model of a military plane
55,several boats in a large building
56,a map of the world
57,a cat lying on a blanket
58,a dog standing on leaves
59,a motorcycle parked on the sidewalk
60,a large airplane on a runway
61,a butterfly on a flower
62,a woman standing next to a table full of food
63,a truck with a sign on the back
64,a group of buses parked in front of a building
65,a plane on the runway
66,a couch and a table in a room
67,a large brown animal
68,bicycles in the snow
69,a cow eating grass
70,a cat sitting in front of a window
71,an airplane is parked at an airport
72,a man with a beard
73,a computer screen on a yellow surface
74,a cat lying down
75,a cow standing on a blue bench
76,a group of trees
77,a person standing next to a train
78,a person sitting in a chair with the hand on the chin
79,a street with a staircase and potted plants on the side
80,a person looking at a white board
81,a train on the railway tracks
82,a seagull flying over the water
83,a close up of a yellow fabric
84,a person riding a horse
85,a man and woman smiling at the camera
86,a person riding a horse
87,a table with a bottle of wine on it
88,a bicycle on a wooden floor
89,a horse and a baby horse in a meadow
90,a man and woman playing a game
91,a group of dogs sitting on a bed
92,a bicycle parked next to a blue wall
93,a dog lying on a red and white surface
94,a person riding a bicycle
95,a bicycle parked on the side of the road
96,a blue motorcycle on a track
97,a cow and a dog in a field
98,a bird standing on a tree branch
99,a person in a white shirt
100,a couple of double decker buses parked next to each other
101,a car parked on a stone surface
102,a man riding a motorcycle
103,a dog sitting in a car
104,a train on the railway tracks
105,a horse with a tire
106,a close-up of a windmill
107,a baby in a car seat
108,a double decker bus parked on grass
109,a group of plants in pots on a window sill
110,two men in kayaks in a river
111,a group of people standing under a tree with a large trunk
112,a double decker bus on the street
113,a table and chairs in a room
114,a tall building with a statue on top of it
115,a close-up of a cat
116,a red couch sits in front of a television
117,a man riding a bicycle
118,a train on the railway tracks
119,a wall with a light switch
120,a dog sitting in a chair
121,a red car with a black background
122,the back of a car
123,a bird with a baby bird
124,a pole with a light on it
125,a white rectangular object
126,a double decker bus on the street
127,a computer screen with a message
128,a black and white cow in a pen
129,a couple of birds flying in the sky
130,a white airplane flying in the sky
131,a woman leaning against a fence
132,a bottle of wine
133,people walking on a subway
134,a green square object on a white surface
135,a red motorcycle parked
136,a row of mopeds
137,a horse standing in a fenced in area
138,a group of people in a living room
139,a close up of a cat
140,a man riding a skateboard
141,a red and black mower parked on the grass
142,a body of water with a large mountain in the background
143,a bus on the street
144,a cat lying on a chair
145,a man holding a gun
146,a screen shot of a video game
147,a plane flying in the sky
148,a wall with many signs on it
149,a bicycle is parked on a box
150,a train on the railway tracks
151,a couple of buses parked next to each other
152,a group of potted plants
153,a picture frame on a wall
154,a boat in the water
155,a boat in the water next to a wind turbine
156,a yellow double decker bus
157,a group of people sitting at a table with drinks
158,a plant in a pot
159,a person holding a football
160,a person on a motorcycle
161,a bicycle parked under a tree
162,a dog standing on a wet road
163,a man looking out a window
164,a couple of men stand near each other
165,a person standing in a field
166,a sign on a tree
167,a person lying on a couch with a cat on the lap
168,a plane taking off
169,a couple of animals stand near each other
170,a dog lying on a bed
171,a close-up of a person's legs
172,a yellow sports car
173,a train on a track
174,a red car on the road
175,a man holding a bottle
176,a table with a plate and a knife on it
177,a cat lying on a chair
178,a couple of boats sit in a body of water
179,a group of buses parked
180,a living room with a blue chair and a coffee table
181,a cow lying on the grass
182,a shelf with books and a basket
183,a bird perched on a branch
184,a large silver airplane in a hangar
185,a group of cats lying on the grass
186,a cat lying on the ground
187,a white dog lying on the grass
188,a group of sheep in a field
189,a view of a forest from a window
190,a bus on the street
191,a person washing a horse
192,a man riding a bicycle
193,a white goat in a rocky area
194,a body of water with a rocky cliff and a boat in the water
195,a large arch over a street
196,a yellow race car
197,several buses parked in a parking lot
198,a body of water with waves
199,a passenger plane flying in the sky
200,a person standing in a train
201,a cat lying on a child
202,a person holding a baseball bat
203,a cat lying on a pillow
204,birds flying over water
205,a girl playing with a dog
206,a train travels down the tracks
207,a cat lying on the ground
208,two dogs running in the snow
209,a sheep and a baby sheep in a fenced in pasture
210,a dog standing on a paved area
211,a large airplane taking off
212,a white horse eating grass
213,a bicycle parked on a sidewalk
214,a brown dog sitting on a couch
215,a plane flying in the sky
216,a building with a flag on the front
217,a large blue and white boat
218,a wooden chair with a cushion
219,a train on the railway tracks
220,a blue truck parked on the side of the road
221,buses parked in a parking lot
222,a room with shelves and a television
223,a person standing on a stool
224,a television on a wall
225,a couple of plants in a pot
226,a couple of men on bicycles
227,a couple of airplanes flying in the sky
228,a table with a cloth on it
229,a couple of orange couches
230,a couple of cats lying on a couch
231,a close-up of a tree
232,a motorcycle parked on the side of a road
233,a tree covered in snow
234,a person on a yellow and red motorcycle
235,two glasses of beer on a table
236,a cat on a couch
237,a table with a tablecloth and bottles of soda on it
238,a living room with a fireplace
239,a laptop computer on a desk
240,a bus is parked on the side of the road
241,a broken down garbage can
242,a black rectangle with a black background
243,a living room with a fireplace
244,a person riding a horse
245,a group of birds on a perch
246,a cat with a blue collar
247,a window with blue shutters
248,a white and yellow race car
249,a dog looking at the camera
250,a person holding a plastic cup
251,a dog lying on a person's lap
252,a man riding a motorcycle
253,a group of people sitting in a room
254,a motorcycle in the air
255,a man standing next to a bicycle
256,a horse with saddles and saddles
257,a large airplane is being loaded with luggage
258,a horse is eating grass
259,a red sports car
260,a cliff with trees
261,a train on the railway tracks
262,a person riding a bicycle on a path
263,a cow lying down in a pen
264,a man standing in a room
265,a dog lying on a bed
266,a field with trees and grass
267,a bike parked next to a tree
268,a red bus in a snowy place
269,a room with a chair and a table and a washer
270,a person holding a bottle of liquid
271,a woman smiling at a man
272,a close-up of water
273,a close-up of a yellow machine
274,a blue motorcycle parked on the side of a road
275,a train on the railway tracks
276,a bottle of beer
277,a train with a cartoon character on it
278,a train with its doors open
279,cows drinking water from a river
280,a large airplane is on the runway
281,a couple of motorcycles are parked
282,a couple of motorcycles parked next to a brick wall
283,a couch with pillows on it
284,a boat on a rocky shore
285,a dog standing next to a potted plant
286,a cat on a shelf
287,a couple of trains in a station
288,a cat and a cat lying on a bed
289,a large ship in the water
290,a bird with a red beak
291,a bus on the street
292,a brown cow standing on grass
293,a train on the railway tracks
294,a computer tower with a box and a box on top
295,a red and white soda can
296,a group of people riding bikes
297,sheep grazing on grass
298,a fighter jet flying through the air
