0,1,2
0,a woman laying on the floor with a dog.,0.8524758815765381
1,a group of birds sitting in front of a tree.,0.9150280952453613
2,a glass of wine and a bottle on a table.,0.8800432682037354
3,a car driving on a body of water with a body of water.,0.8998965620994568
4,a black bird standing in the grass.,0.9600846767425537
5,a bird standing on top of a bouquet of flowers.,0.8210336565971375
6,a white bird flying over a field of grass.,0.9647961258888245
7,a couple of sheep standing in the grass.,0.9698939323425293
8,a woman sitting at a counter looking at a microwave.,0.8698323369026184
9,a wooden table with plates and flowers in a room.,0.9732773900032043
10,a couple of orange birds sitting on a tree branch.,0.8950788378715515
11,a large cathedral with cars parked in front of it.,0.8780947923660278
12,a brown horse standing in front of a wooden fence.,0.9146007895469666
13,a sheep grazing in a field of grass.,0.8966284394264221
14,a group of people standing around a yellow raft in the ocean.,0.8080815076828003
15,a bedroom with a bed with pictures on the wall.,0.8420584201812744
16,a brown and white cow standing on the side of a road.,0.9596610069274902
17,a group of wooden chairs and tables in a room.,0.886267900466919
18,a man riding a horse drawn carriage in the snow.,0.9085362553596497
19,a living room with a green couch and a lamp.,0.9163211584091187
20,a cat laying on top of a wooden bench.,0.9575265645980835
21,a close up of a subway train on the tracks.,0.8831655979156494
22,a chair and a table next to a red wall.,0.8528774976730347
23,a person sitting on a bench in front of a window.,0.7653133869171143
24,a couple of boats are on the water.,0.8085611462593079
25,a small dog sitting on top of a bed.,0.870731770992279
26,a brown dog grazing in a field with a field.,0.874713659286499
27,a black cat laying on top of a couch.,0.9959126114845276
28,a man sitting on a floor with a pillow.,0.770479679107666
29,a black and white photo of a train on the tracks.,0.9958513975143433
30,a white sheep standing next to a brown dog.,0.8876801133155823
31,a living room with a couch and a fireplace.,0.9907606244087219
32,a black motorcycle parked in front of a building.,0.9294750094413757
33,a man in a suit and hat standing in front of a train.,0.9205315709114075
34,a white dog walking in the grass in a forest.,0.944002628326416
35,a couple of yellow school buses driving down a street.,0.866697371006012
36,a brown and white dog laying on the floor next to a mirror.,0.9420228004455566
37,a brown horse standing next to a fence.,0.9870264530181885
38,a white baby mouse laying on top of a blanket.,0.8118406534194946
39,a couple of buses parked in a parking lot.,0.8503360748291016
40,a close up of a grey bird on a rock.,0.787251353263855
41,a black and white cat laying on a bed.,0.9004352688789368
42,a bicycle parked in front of a building with two windows.,0.8999996185302734
43,a sheep grazing in a field of grass.,0.9188628792762756
44,a cat sitting on top of a chair in a window.,0.9163563847541809
45,a couple of birds standing in a nest.,0.8672395348548889
46,a cat sleeping on a pink couch with a dog.,0.848661482334137
47,a group of people standing on a runway at an airport.,0.9319670796394348
48,a large airplane parked on the runway at an airport.,0.9010518193244934
49,a couple of women standing next to each other.,0.9283187389373779
50,a laptop computer sitting on a table with a plate of food.,0.9556060433387756
51,a red fire truck sitting on top of a table.,0.7850571870803833
52,a man and a woman petting a cow.,0.9460610747337341
53,a motorcycle parked on the side of a road.,0.986957311630249
54,a small plane parked in a building with three chairs.,0.8085951805114746
55,a couple of white boats parked in a warehouse.,0.7799146771430969
56,a couple of dogs sitting on a couch.,0.9635000228881836
57,a cat laying on top of a table.,0.9565737843513489
58,a dog standing in the leaves with a stick in its mouth.,0.8763318657875061
59,a black motorcycle parked on the side of a building.,0.9673794507980347
60,a red and white airplane flying over a bridge.,0.9307367205619812
61,a couple of birds sitting on top of a red table.,0.824746310710907
62,a woman sitting at a table with a cake.,0.9809942841529846
63,a laptop computer sitting on the back of a truck.,0.9053055644035339
64,a group of red double decker buses parked in a building.,0.8834317922592163
65,a white airplane sitting on top of a runway.,0.8753541111946106
66,a living room with a couch and a table.,0.964473307132721
67,a couple of black cows standing in a field.,0.9638516306877136
68,a car parked in the snow in a pile of snow.,0.8884920477867126
69,a black and white cow standing in a field next to a fence.,0.8969386219978333
70,a cat sitting in front of a window.,0.989283561706543
71,a large airplane parked on the runway at an airport.,0.9659225940704346
72,a man holding a bottle of alcohol.,0.831876814365387
73,a old television sitting on top of a table with a window.,0.7953336238861084
74,a black and white cat laying on its side.,0.8133653402328491
75,a couple of dogs sitting on a blue table.,0.8624484539031982
76,a yellow school bus parked on the side of a road.,0.9962413311004639
77,a man walking next to a train on the tracks.,0.8498730063438416
78,a couple of men sitting next to each other in an airport.,0.9386191368103027
79,a man sitting on a street in front of a building.,0.8685459494590759
80,a man standing in a room holding a tie.,0.7932559251785278
81,a pink and white train on the tracks.,0.9522018432617188
82,a white bird flying over a body of water.,0.9661849141120911
83,a cat looking out of a window.,0.9183895587921143
84,a young girl sitting on the back of a horse.,0.9232831597328186
85,a man and a woman sitting at a table holding wine glasses.,0.9703912734985352
86,a little girl sitting on a white horse.,0.8580411076545715
87,a wooden table in front of a large tree.,0.8812924027442932
88,a bike parked in front of a building with a table.,0.7788688540458679
89,a couple of baby horses standing in the grass.,0.9569582343101501
90,a woman holding a baby at a table.,0.9679864048957825
91,a group of dogs laying on the ground.,0.9052444100379944
92,a red bike parked next to a blue door.,0.861924946308136
93,a white cat laying on the floor.,0.9072629809379578
94,a man riding a bike down a street.,0.925686240196228
95,a yellow bicycle parked next to a street.,0.9309763312339783
96,a person riding a motorcycle on a race track.,0.919474184513092
97,a black sheep standing in the grass.,0.958182692527771
