0,1
0,a person on a dirt bike
1,a woman lighting a candle
2,a person on a bicycle next to a train
3,a kitchen with a sink and a window
4,a stack of wood
5,a table with a variety of cookies on it
6,a bathroom with a toilet sink and bathtub
7,a bathroom with a glass shower
8,a group of people riding bikes on a street
9,a bathroom with a sink and a toilet
10,a wooden shelf with baskets on it
11,a man wearing glasses and a suit
12,a man on a motorcycle
13,a group of people standing outside of a building with blue doors
14,a bedroom with a television and a bookcase
15,a group of objects on a table
16,a bunch of bananas are in a box
17,a bicycle on a stand
18,a plane parked at a boarding area
19,a group of airplanes on a runway
20,a small airplane with a propeller
21,a red motorcycle parked on a dirt road
22,a dog with a red collar
23,a traffic light with a red light
24,a table with a vase of yellow flowers on it
25,a group of people playing in a playground
26,sheep in a pasture
27,birds flying in the sky
28,a boat with flags
29,giraffes eating from a tree
30,a fire hydrant is stationed on the side of the street
31,a bird eating a piece of food
32,a street sign in front of a building
33,two ducks swimming in water
34,a street sign with a measuring tape
35,a sheep in a field
36,a man and a woman holding a box
37,a street sign on a pole
38,a cow is standing on the sidewalk
39,a bull with a cart
40,a cat eating a banana
41,a cat sitting on a chair
42,a cow walking on a path
43,a cow in a field
44,a person with red hair
45,a baby elephant in an enclosure
46,an elephant lying on its side
47,a yellow kayak and a yellow paddle on a beach
48,boats docked at a pier
49,an elephant walking in a field
50,a couple of girls smiling and taking a selfie
51,a person sitting on a suitcase
52,a woman sitting on a suitcase
53,a baby sitting in a chair
54,a dog in a pool
55,a couple of girls running with an umbrella
56,a dog sitting on a table
57,a person walking on a beach
58,a group of people walking on a sandy beach with a rock formation in the background
59,a zebra stands in the grass
60,a zebra standing in the snow
61,a zebra and a camel on a hill
62,a group of zebras in a field
63,a group of horses
64,a horse is eating grass
65,a plane flying over a forest
66,a person with a horse
67,a banana and oranges on a counter
68,a group of kids playing baseball
69,a person wearing a costume
70,a person wearing a colorful costume
71,a baseball player throwing a ball
72,a plate of food
73,a man and a girl skiing
74,a young girl holding a plate of food
75,a person sitting in a chair
76,a kid does a skateboard trick
77,a couple of men skateboarding
78,a couple of men snowboarding
79,a girl eating food
80,a man holding a surfboard
81,donuts and pastries in a bakery
82,a boy eating a sandwich
83,a group of pastries in a display case
84,a plate of food
85,a plate of food
86,a box of donuts
87,a person holding a basketball
88,a man in a wet suit holding a surfboard
89,a person playing football
90,a man riding a wave on a surfboard
91,a group of men playing football
92,a woman holding a tray of food
93,a baby eating a potato
94,a person and a group of children playing football
95,a man sitting at a table with a pizza and a drink
96,a baby sleeping on a bed
97,a couple of people sitting in a bed
98,a pizza with tomatoes and onions
99,tennis rackets on a rack
100,a person eating a slice of pizza
101,a woman holding a tennis racket
102,a couple of pizzas on a table
103,a brown leather couch with pillows
104,a boy eating a piece of cake
105,a living room with a couch and a table
106,a group of men working on computers
107,a man holding a surfboard on a beach
108,a person riding a bike on a grassy hill with trees in the background
109,a person holding a child on a swing
110,a kite flying in the sky
111,a clock on a pole
112,a baseball player swinging a bat
113,a baseball player prepares to swing a bat
114,a baseball player holding a bat
115,a boy holding a baseball bat
116,a baseball player prepares to swing a bat
117,a man holding a stick
118,a pizza with a slice missing
119,a group of people playing tennis
120,a person hitting a tennis ball with a racket
121,a person stands in front of a building with a clock
122,a close up of a person's hand
123,a man in a costume
124,a crowd of people at a street festival
125,a person feeding a dog
126,a large building with a clock tower
127,a group of dolls
128,a building with a clock on it
129,a close-up of some flowers
130,a vase with purple flowers
131,a man holding a large knife
132,a pair of scissors next to a couple of cut up red and yellow pens
133,a group of people sitting at a table
134,a person holding a baby
135,a group of people sitting around a table with bottles and glasses
136,a man holding a wine glass
137,a group of people with luggage
138,a table full of groceries
139,a person and a dog in a kitchen
140,a person cooking in a kitchen
141,a person sits on a stool in a kitchen
142,a person standing on a dog
143,a kitchen table with a pot and pans on it
144,a man and woman holding a skateboard on a sidewalk
145,a person on a bike
146,a bathroom with a toilet and sink
147,a bathroom with a sink and towels
148,a shower with a tile wall
149,a couple of people riding a motorcycle on a bridge
150,a toilet with a broken seat
151,a large clock on a building
152,two people on a motorcycle
153,a group of people walking next to an airplane
154,a red rocket with white smoke coming out of it
155,a large airplane flying in the sky
156,a plane flying in the sky
157,a plane flying in the sky
158,a group of animals grazing on a hill by the ocean
159,a giraffe standing in the wild
160,a giraffe standing in a field
161,a traffic light is red
162,a street with traffic lights
163,giraffes in a field
164,a giraffe eating from a feeder
165,giraffes in a field
166,a fire hydrant on the sidewalk
167,sheep standing in a field
168,a person sitting on a bench overlooking a large body of water
169,a giraffe in a zoo exhibit
170,a group of ducks in a body of water
171,giraffes in a zoo exhibit
172,giraffe in a zoo exhibit
173,a street sign with a red sign
174,a giraffe eating grass
175,giraffes eating from a tree
176,a group of people on a hill
177,a herd of sheep in a field
178,sheep grazing in a field
179,a garbage can full of dirt
180,a train station with people and cars
181,a red and yellow train
182,a stop sign in the snow
183,people waiting on a train
184,a stop sign with a sticker on it
185,a cat is laying on top of a suitcase
186,a cat sitting on a window sill
187,a firetruck with a group of people in the back
188,a group of people posing for a photo
189,a dog wearing a tie
190,a boat is parked on the shore
191,boats are parked in the water
192,a man and woman posing for a picture
193,a person walks down the sidewalk with an umbrella
194,a cat sitting in a sink
195,a cat lying on a person's lap
196,a man using a laptop with a cat on his lap
197,a person feeding an elephant
198,a dog jumping to catch a frisbee
199,two dogs playing in the snow
200,a couple of black luggage bags
201,a person standing at a luggage carousel
202,a dog running with a frisbee in its mouth
203,zebras and birds in a field
204,a girl throwing a frisbee
205,zebras and gazelles are near a pond
206,a herd of zebras in a field
207,a zebra laying down
208,a horse running through the woods
209,a statue of a person on a horse
210,a person holding a bag of potato chips
211,a man riding a wave
212,a couple of people skiing down a slope
213,a pile of oranges
214,a pile of oranges
215,a person skiing down a slope
216,a baseball player hitting a ball
217,skiers jumping over a fence
218,a man riding a skateboard
219,a person skiing on the snow
220,a man skiing down a snowy slope
221,a group of kids on a bike
222,a plate of food
223,a table with dishes and dishes on it
224,a group of people on skis
225,a person eating a sandwich
226,a man doing a trick on a skateboard
227,a chocolate donut with sprinkles
228,a snake eating a piece of meat
229,a spoon in a bowl of ice cream
230,a piece of cake on a plate
231,a person sleeping with cats
232,a bedroom with posters on the wall
233,a birthday cake is being cut
234,a woman standing in front of a birthday cake
235,a couple of women smiling
236,two women holding a picture
237,a man is surfing on the waves
238,a group of people stand on a beach
