0,1,2
0,a man walking on the back of a motorcycle.,0.8957178592681885
1,a couple of people eating food from a spoon.,0.9058010578155518
2,a man riding a bike next to a train.,0.9740765690803528
3,a kitchen counter with a sink and a window.,0.9474280476570129
4,a group of wooden spoons sitting on a table.,0.9726964235305786
5,a wooden table with a bunch of wooden spoons on it.,0.9270037412643433
6,a small bathroom with a shower and a toilet.,0.9650133848190308
7,a bathroom with a toilet and a shower and a sink.,0.9959217309951782
8,a group of people riding bikes down a city street.,0.9983602166175842
9,a bathroom with a sink and a toilet and a mirror.,0.9970607757568359
10,a wooden shelf filled with baskets on top of a toilet.,0.9226527810096741
11,a man wearing glasses and a black shirt and a tie.,0.9755087494850159
12,a couple of men riding on a motorcycle.,0.9897122383117676
13,a row of motorcycles parked on the side of a street.,0.9900853633880615
14,a living room with a white chair and a television.,0.9773658514022827
15,a picture of a table with a pitcher and oranges.,0.8502424955368042
16,a bunch of bananas sitting in a wooden crate.,0.8922020792961121
17,a motorcycle parked in front of a bunch of wine bottles.,0.8943600654602051
18,a man boarding a plane at an airport.,0.9128221869468689
19,a view of an airport with planes parked at the terminal.,0.9004033803939819
20,a small blue and white plane is flying in the grass.,0.9708318710327148
21,a red motorcycle parked in a dirt field with sheep.,0.9462116360664368
22,a white dog standing on a bench with people.,0.9583412408828735
23,a couple of traffic lights on a pole.,0.9919138550758362
24,a dining room with a table and flowers on it.,0.8983471989631653
25,a group of people standing on a sidewalk.,0.9849159717559814
26,a herd of sheep in front of a building in the snow.,0.9120294451713562
27,a group of birds flying over a beach.,0.9787134528160095
28,a boat with a swan in the water.,0.9841315746307373
29,a couple of giraffes eating leaves from a tree.,0.9745453000068665
30,a yellow fire hydrant sitting next to a house.,0.8614264726638794
31,a black bird is standing on a potted plant eating an apple.,0.8745514154434204
32,a black and white photo of a building with a clock tower.,0.9980083107948303
33,a couple of ducks swimming in the water.,0.899991512298584
34,a couple of street signs on a wooden pole.,0.9701006412506104
35,a sheep standing in a field next to a road.,0.9953539371490479
36,a couple of people standing in a room with a snowboard.,0.8868239521980286
37,a group of street signs in front of a red brick building.,0.9429909586906433
38,a cow walking down the sidewalk in front of a building.,0.9055629968643188
39,a cow standing next to a blue barrel.,0.9260165095329285
40,a cat eating a banana peel on the floor.,0.8973146677017212
41,a cat sitting on a chair next to a table.,0.9757981300354004
42,a couple of cows standing and laying in a field.,0.9234709739685059
43,a black and white cow standing in a field.,0.9991465210914612
44,a close up of a doll with a tie.,0.9193598628044128
45,a group of elephants in an enclosure at a zoo.,0.941298246383667
46,an elephant standing next to a tree in the woods.,0.9156370162963867
47,a yellow boat sitting on the shore of the water.,0.9293299317359924
48,a group of boats are docked at a dock.,0.9672783017158508
49,a couple of elephants walking in a field of grass.,0.9199385046958923
50,a woman holding a child on her lap.,0.9182384014129639
51,a woman in a dress sitting on a suitcase.,0.9698196649551392
52,a woman sitting on a suitcase in the woods.,0.9869168400764465
53,a young child sitting in a high chair in a bathroom.,0.7626103758811951
54,a brown dog laying next to a swimming pool.,0.9013258814811707
55,a couple of people walking down a street holding umbrellas.,0.9920358061790466
56,a black dog standing next to a plate of food.,0.9495260119438171
57,a person walking on a beach in the sand.,0.9507511854171753
58,a person walking a dog on a dirt road.,0.919626772403717
59,a close up of a zebra grazing on grass.,0.9896073937416077
