0,1,2
236,a couple of women holding a picture of a cake.,0.8745671510696411
121,a man in a tie and a woman sitting on a sidewalk.,0.8298450708389282
72,a group of plates of food on a table.,0.923534631729126
75,a woman riding a skateboard down a street.,0.9366012215614319
231,a man sleeping on a bed with a cat.,0.8817110657691956
126,a large building with a clock tower on top of it.,0.9939858913421631
185,a cat standing on top of a group of red luggage.,0.9192105531692505
243,a man and a woman sitting at a table eating pizza.,0.9447837471961975
292,a woman sitting on the back of a boat.,0.9434470534324646
154,a red and black plane flying in the sky.,0.9098924398422241
128,a group of buildings on the side of a street.,0.8813318610191345
238,a group of people standing on the beach with surfboards.,0.9153401851654053
182,a stop sign and a street sign in the snow.,0.8738834857940674
244,a man standing on a blue tennis court.,0.9672402143478394
295,a blue train car sitting on the tracks.,0.9848125576972961
153,a group of people standing in front of an airplane.,0.9536271691322327
35,a sheep standing in a field of grass.,0.9887275695800781
49,a large elephant walking in a field of grass.,0.9396493434906006
98,a close up of a pizza on a white plate.,0.9487873315811157
166,a black and white fire hydrant on the side of a street.,0.7729451060295105
271,a black and white cat sitting in a bathroom sink.,0.8867148160934448
161,a group of tall buildings in front of a sky.,0.8460689783096313
276,a cat sitting on top of a white toilet.,0.9283658862113953
32,a large building with a street sign in front of it.,0.9333035945892334
40,a gray dog eating a banana on a bed.,0.8180726170539856
91,a group of men playing soccer on a field.,0.954425036907196
278,a bunch of oranges sitting on a table.,0.9349782466888428
113,a baseball player holding a bat on a field.,0.9988265037536621
204,a bunch of grass in a field of green grass.,0.8578643798828125
114,a man sitting on a field holding a baseball bat.,0.8406524658203125
203,a group of zebras standing in a field with birds.,0.9873192310333252
47,a bird sitting on the front of a small boat near the water.,0.7768390774726868
96,a baby laying on a bed with a baby.,0.8466255068778992
168,a large boat in the water under a cloudy sky.,0.7868526577949524
212,a person skiing down a snow covered slope.,0.8917027115821838
105,a living room with a table and chairs and a window.,0.971276581287384
179,a metal box on the side of a street.,0.7701171040534973
87,a young man in a vest and tie standing in a living room.,0.8635939359664917
56,a couple of black dogs laying on a couch.,0.9600546360015869
269,a room with a wall with a window and a table.,0.8385276794433594
80,a young man in a blue shirt holding a snowboard.,0.8480287194252014
51,a woman sitting on a chair with a cell phone.,0.8424949645996094
215,a group of trees in the middle of a forest.,0.9220184683799744
102,a close up of a slice of pizza on a cutting board.,0.8512043356895447
